"Nome servizio","Prezzo al dettaglio","Durata","Tempo supplementare","Imposta","Descrizione","Nome della categoria","Tipo di trattamento","Risorsa","Prenotazione online","Disponibile per","Vendita di buoni","Commissioni","Identificativo servizio","SKU"
"HOLTER PRESSORIO 24 H","45.00","30m","","No tax","","HOLTER PRESSORIO","TUG Breast Reconstruction","Non obbligatorio","Disabilitato","","Abilitati","Abilitati","21612069",""
"Percorso vibrazionale e sonoro (no massaggio)","19.00","30m","","No tax","","Tokyo","Trattamento energetico","Richiesto","Abilitati","Tutti","Abilitati","Abilitati","16389475",""
"Massaggio completo","60.00","1h","","No tax","","Tokyo","Massaggio corpo completo","Richiesto","Abilitati","Tutti","Abilitati","Abilitati","16389458",""
"Massaggio parziale gambe / schiena ","30.00","30m","","No tax","","Tokyo","Massaggio linfodrenante","Richiesto","Abilitati","Tutti","Abilitati","Abilitati","16389455",""
"Architettura sopracciglia con pinzetta ","8.00","15m","","No tax","","Depilazione Donna","Ceretta sopracciglia","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","19567171",""
"Cera completa di tutto","50.00","1h 30m","","No tax","gambe,inguine,ascelle,braccia,glutei,baffetti e sopracciglia","Depilazione Donna","Ceretta corpo completa","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","12602175",""
"Inguine totale + Ascelle o braccia","25.00","30m","","No tax","","Depilazione Donna","Ceretta braccia","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9163833",""
"Inguine + Gambe + Braccia o ascelle","40.00","1h","","No tax","","Depilazione Donna","Ceretta braccia","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9163829",""
"1/2 gamba inferiore + braccia","20.00","30m","","No tax","","Depilazione Donna","Ceretta braccia","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9163826",""
"Inguine + ascelle + baffetto e sopracciglia","30.00","40m","","No tax","","Depilazione Donna","Ceretta braccia","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9162542",""
"Mento","5.00","10m","","No tax","","Depilazione Donna","Ceretta viso","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9101623",""
"Glutei","7.00","15m","","No tax","","Depilazione Donna","Ceretta corpo completa","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9101603",""
"Ascelle","8.00","15m","","No tax","","Depilazione Donna","Ceretta inguine","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9101498",""
"Inguine parziale / addome ","10.00","20m","","No tax","","Depilazione Donna","Ceretta inguine","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9101490",""
"Inguine Totale","15.00","20m","","No tax","","Depilazione Donna","Ceretta inguine","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9101478",""
"1/2 gamba inferiore + inguine parziale","20.00","30m","","No tax","","Depilazione Donna","Ceretta corpo completa","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9101476",""
"Gamba intera + inguine parziale o braccia o ascelle","30.00","50m","","No tax","","Depilazione Donna","Ceretta corpo completa","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9101471",""
