"Nome servizio","Prezzo al dettaglio","Durata","Tempo supplementare","Imposta","Descrizione","Nome della categoria","Tipo di trattamento","Risorsa","Prenotazione online","Disponibile per","Vendita di buoni","Commissioni","Identificativo servizio","SKU"
"colore+taglio+piega lunga - From","70.00","2h 35m","","Dovuta per servizi","","AD USO INTERNO","Dovuta per servizi","","Abilitati","Tutti","Disabilitato","","",""
"Balayage + piega - From","95.00","2h 15m","","Dovuta per servizi","","AD USO INTERNO","Dovuta per servizi","","Abilitati","Tutti","Disabilitato","","",""
"trattamento condizionante con electronic master","8.00","10m","","No tax","","AD USO INTERNO","Piega","Non obbligatorio","Disabilitato","","Abilitati","Abilitati","9414186",""
"taglio+piega lunga","40.00","1h 25m","","Dovuta per servizi","","AD USO INTERNO","Dovuta per servizi","","Abilitati","Tutti","Disabilitato","","",""
"Tonalizzante / riflessante ","20.00","25m","","No tax","","AD USO INTERNO","Servizi di colore capelli","Non obbligatorio","Disabilitato","","Abilitati","Abilitati","9413899",""
"Balayage - From","80.00","1h 30m","2h tempo di attesa dopo il trattamento","No tax","","AD USO INTERNO","Servizi di colore capelli","Non obbligatorio","Disabilitato","","Abilitati","Abilitati","9413529",""
"colpi di sole - From","55.00","1h","50m tempo di attesa dopo il trattamento","No tax","","AD USO INTERNO","Servizi di colore capelli","Non obbligatorio","Disabilitato","","Abilitati","Abilitati","9413515",""
"Colore senza ammoniaca - From","40.00","20m","45m tempo di attesa dopo il trattamento","No tax","","AD USO INTERNO","Servizi di colore capelli","Non obbligatorio","Disabilitato","","Abilitati","Abilitati","9413424",""
"colore - From","30.00","25m","45m tempo di attesa dopo il trattamento","No tax","","AD USO INTERNO","Servizi di colore capelli","Non obbligatorio","Disabilitato","","Abilitati","Abilitati","9404465",""
"taglio donna","20.00","25m","","No tax","","AD USO INTERNO","Piega","Non obbligatorio","Disabilitato","","Abilitati","Abilitati","9404429",""
"taglio+shampoo","15.00","30m","","No tax","","PARRUCCHIERE UOMO","Taglio capelli donna","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9404323",""
"taglio+barba+shampoo","25.00","45m","","No tax","","PARRUCCHIERE UOMO","Servizi di colore capelli","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9404322",""
"Balayage + piega + riflessante - From","115.00","2h 40m","","Dovuta per servizi","","PARRUCCHIERE DONNA","Dovuta per servizi","","Abilitati","Tutti","Disabilitato","","",""
"piega corta","13.00","35m","","No tax","","PARRUCCHIERE DONNA","Piega","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9404321",""
"Piega lunga","15.00","45m","","No tax","","PARRUCCHIERE DONNA","Piega","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9413834",""
"Piega twist ","18.00","45m","","No tax","","PARRUCCHIERE DONNA","Piega","Non obbligatorio","Abilitati","Tutti","Abilitati","Abilitati","9413831",""
"Tonalizzante + piega","35.00","1h 10m","","Dovuta per servizi","","PARRUCCHIERE DONNA","Dovuta per servizi","","Abilitati","Tutti","Disabilitato","","",""
"trattamento condizionante con electronic master + piega","23.00","55m","","Dovuta per servizi","","PARRUCCHIERE DONNA","Dovuta per servizi","","Abilitati","Tutti","Disabilitato","","",""
"taglio+piega","35.00","1h 10m","","Dovuta per servizi","","PARRUCCHIERE DONNA","Dovuta per servizi","","Abilitati","Tutti","Disabilitato","","",""
"colore+piega - From","45.00","1h 40m","","Dovuta per servizi","","PARRUCCHIERE DONNA","Dovuta per servizi","","Abilitati","Tutti","Disabilitato","","",""
"colore+taglio+piega - From","65.00","2h 20m","","Dovuta per servizi","","PARRUCCHIERE DONNA","Dovuta per servizi","","Abilitati","Tutti","Disabilitato","","",""
"colore senza ammoniaca+piega - From","55.00","1h 50m","","Dovuta per servizi","","PARRUCCHIERE DONNA","Dovuta per servizi","","Abilitati","Tutti","Disabilitato","","",""
"colore senza ammoniaca+ taglio+ piega - From","75.00","2h 15m","","Dovuta per servizi","","PARRUCCHIERE DONNA","Dovuta per servizi","","Abilitati","Tutti","Disabilitato","","",""
"colpi di sole + piega - From","70.00","2h 35m","","Dovuta per servizi","","PARRUCCHIERE DONNA","Dovuta per servizi","","Abilitati","Tutti","Disabilitato","","",""
"colpi di sole + taglio + piega - From","90.00","3h","","Dovuta per servizi","","PARRUCCHIERE DONNA","Dovuta per servizi","","Abilitati","Tutti","Disabilitato","","",""
"balayage + riflessante + piega - From","115.00","4h 40m","","Dovuta per servizi","","PARRUCCHIERE DONNA","Dovuta per servizi","","Abilitati","Tutti","Disabilitato","","",""
"balayage + riflessante + taglio + piega - From","135.00","5h 5m","","Dovuta per servizi","","PARRUCCHIERE DONNA","Dovuta per servizi","","Abilitati","Tutti","Disabilitato","","",""
""
