"Service Name","Retail Price","Duration","Extra Time","Tax","Description","Category Name","Treatment Type","Resource","Online Booking","Available For","Voucher Sales","Commissions","Service ID","SKU"
"Vitamin c","60.00","45m","","No tax","","Viso","Skin Lightening Treatment","Not required","Enabled","Everyone","Enabled","Enabled","17147871",""
" Needling Cuoio Capelluto e/o Sopracciglia - From","200.00","1h","","No tax","","Viso","Acne Scar Treatment","Not required","Enabled","Everyone","Enabled","Enabled","5901552",""
"Peeling","120.00","1h","","No tax","Peeling specifico viso","Viso","Chemical Peel","Not required","Enabled","Everyone","Enabled","Enabled","15792731",""
"Hidrafacial","90.00","1h","","No tax","L evoluzione della pulizia viso","Viso","Microneedling","Not required","Enabled","Everyone","Enabled","Enabled","15792748",""
"Biorivitalizzazione ","120.00","30m","","No tax","","Viso","Skin Tightening","Not required","Enabled","Everyone","Enabled","Enabled","15792813",""
"Pulizia viso più fiala specifica","190.00","1h 45m","","Inherited from services","Pulizia profonda con spatola ad ultrasuoni con l aggiunta di una fiala specifica  a seconda delle esigenze della tua pelle ","Viso","Inherited from services","","Enabled","Everyone","Disabled","","",""
"Pulizia del viso con Ultrasuoni - From","70.00","1h 15m","","No tax","Trattamento con spatola ad ultrasuoni per uno scrub del viso e una pulizia profonda della pelle ","Viso","Facial","Not required","Enabled","Everyone","Enabled","Enabled","6077836",""
"Lash filler","80.00","1h","","No tax","","Ciglia e sopracciglia","Lash Lift and Tint","Not required","Enabled","Everyone","Enabled","Enabled","15792779",""
"Laminazione Sopracciglia","40.00","45m","","No tax","","Ciglia e sopracciglia","Eyebrow Shaping","Not required","Enabled","Everyone","Enabled","Enabled","5901791",""
"Architettura del Sopracciglio con Hennè","25.00","45m","","No tax","","Ciglia e sopracciglia","Eyebrow Shaping","Not required","Enabled","Everyone","Enabled","Enabled","5901694",""
"Definizione Sopracciglio","10.00","15m","","No tax","","Ciglia e sopracciglia","Eyebrow Shaping","Not required","Enabled","Everyone","Enabled","Enabled","5901690",""
"Pedicure Curativo più semi piedi","70.00","1h 30m","","Inherited from services","","Piedi","Inherited from services","","Enabled","Everyone","Disabled","","",""
"Pedicure estetico più semi piedi","60.00","1h 30m","","Inherited from services","","Piedi","Inherited from services","","Enabled","Everyone","Disabled","","",""
"Pedicure Curativo ","40.00","1h","","No tax","","Piedi","Pedicure","Not required","Enabled","Everyone","Enabled","Enabled","5790828",""
"Pedicure Curativo  - Pedicure Curativo con Smalto ","45.00","1h 10m","","No tax","","Piedi","Pedicure","Not required","Enabled","Everyone","Enabled","Enabled","5790828",""
"Pedicure estetico","30.00","1h","","No tax","","Piedi","Pedicure","Not required","Enabled","Everyone","Enabled","Enabled","5901658",""
"Pedicure estetico - Pedicure estetico con smalto","35.00","1h 10m","","No tax","","Piedi","Pedicure","Not required","Enabled","Everyone","Enabled","Enabled","5901658",""
"Semipermanente Piedi","30.00","30m","","No tax","","Piedi","Pedicure","Not required","Enabled","Everyone","Enabled","Enabled","5901674",""
"Manicure Russa","25.00","30m","","No tax","","Nails","Manicure","Not required","Enabled","Everyone","Enabled","Enabled","5865505",""
"Manicure Russa - Manicure più smalto","30.00","40m","","No tax","","Nails","Manicure","Not required","Enabled","Everyone","Enabled","Enabled","5865505",""
"Cambio Smalto","10.00","15m","","No tax","","Nails","Manicure","Not required","Enabled","Everyone","Enabled","Enabled","5865510",""
"Vitagel (Trattamento Curativo)","35.00","40m","","No tax","","Nails","Manicure","Not required","Enabled","Everyone","Enabled","Enabled","5865516",""
"Ricostruzione Gel Small","70.00","1h 30m","","No tax","","Nails","Gel Nails","Not required","Enabled","Everyone","Enabled","Enabled","5901487",""
"Ricostruzione Gel XLarge","80.00","1h 45m","","No tax","","Nails","Gel Nails","Not required","Enabled","Everyone","Enabled","Enabled","5901613",""
"Refil","45.00","1h","","No tax","","Nails","Manicure","Not required","Enabled","Everyone","Enabled","Enabled","5865524",""
"Refil - Cambio forma ","55.00","1h 25m","","No tax","","Nails","Manicure","Not required","Enabled","Everyone","Enabled","Enabled","5865524",""
"Copertura Unghia Naturale in Gel","50.00","1h","5m blocked time after","No tax","","Nails","Gel Nails","Not required","Enabled","Everyone","Enabled","Enabled","5790833",""
"Semipermanente Mani","30.00","45m","5m blocked time after","No tax","","Nails","Nail Art","Not required","Enabled","Everyone","Enabled","Enabled","5788127",""
"Semi gel","35.00","45m","","No tax","","Nails","Manicure","Not required","Enabled","Everyone","Enabled","Enabled","5865528",""
"Cambio Lucido Gel","10.00","15m","","No tax","","Nails","Gel Nails","Not required","Enabled","Everyone","Enabled","Enabled","5901636",""
"Cambio Colore Gel","20.00","45m","","No tax","","Nails","Gel Nails","Not required","Enabled","Everyone","Enabled","Enabled","5901650",""
"Smontaggio Gel","20.00","30m","","No tax","","Nails","Gel Nails","Not required","Enabled","Everyone","Enabled","Enabled","5901653",""
"Extencion Ciglia (1a Applicazione) - From","70.00","2h 15m","","No tax","","Nails","Eyebrow Shaping","Not required","Enabled","Everyone","Enabled","Enabled","5901794",""
""
